,,,Colonna45,Colonna43,Colonna41,Colonna40,#,Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
31,Solar Beam,C,,,,,27,Sandshrew,Dig,Mud Shot,Return,Rock Slide,Sand Tomb,Scratch,**Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Steel Wing,F,,,,,27,Sandshrew-Alola,Blizzard,Gyro Ball,Metal Claw,Night Slash,Powder Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Stone Edge,C,,,,,28,Sandslash,Bulldoze,Earthquake,Metal Claw,Mud Shot,Return,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Struggle Bug,F,,,,,28,Sandslash-Alola,Blizzard,Bulldoze,Gyro Ball,Ice Punch,Metal Claw,Powder Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Surf,C,,,,,29,Nidoran-F,Bite,Body Slam,Poison Fang,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Thunder,C,,,,,30,Nidorina,Bite,Dig,Poison Fang,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Thunderbolt,C,,,,,31,Nidoqueen,Bite,Earth Power,Earthquake,Poison Jab,Sludge Wave,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Volt Switch,F,,,,,32,Nidoran-M,Body Slam,Horn Attack,Peck,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Waterfall,F,,,,,33,Nidorino,Dig,Horn Attack,Poison Jab,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Wild Charge,C,,,,,34,Nidoking,Earth Power,Earthquake,Iron Tail,Megahorn,Poison Jab,Sand Tomb,Sludge Wave,**Fury Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,−,,,,,35,Clefairy,Body Slam,Disarming Voice,Moonblast,Pound,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,−,,,,,36,Clefable,Charge Beam,Charm,Dazzling Gleam,Meteor Mash,Moonblast,Psychic,Zen Headbutt,**Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,−,,,,,37,Vulpix,Body Slam,Ember,Flame Charge,Flamethrower,Quick Attack,Weather Ball (Fire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,−,,,,,37,Vulpix-Alola,Blizzard,Dark Pulse,Ice Beam,Powder Snow,Weather Ball (Ice),Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,−,,,,,38,Ninetales,Feint Attack,Fire Spin,Heat Wave,Overheat,Psyshock,Return,Solar Beam,Weather Ball (Fire),**Ember,**Fire Blast,**Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,−,,,,,38,Ninetales-Alola,Blizzard,Charm,Dazzling Gleam,Feint Attack,Ice Beam,Powder Snow,Psyshock,Weather Ball (Ice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,−,,,,,39,Jigglypuff,Dazzling Gleam,Disarming Voice,Feint Attack,Gyro Ball,Pound,**Body Slam,**Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,−,,,,,40,Wigglytuff,Charm,Dazzling Gleam,Feint Attack,Hyper Beam,Ice Beam,Play Rough,Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,−,,,,,41,Zubat,Air Cutter,Bite,Poison Fang,Quick Attack,Return,Swift,**Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,−,,,,,42,Golbat,Air Cutter,Bite,Poison Fang,Return,Shadow Ball,Wing Attack,**Ominous Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,−,,,,,43,Oddish,Acid,Moonblast,Razor Leaf,Return,Seed Bomb,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,−,,,,,44,Gloom,Acid,Moonblast,Petal Blizzard,Razor Leaf,Return,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,−,,,,,45,Vileplume,Acid,Moonblast,Petal Blizzard,Razor Leaf,Return,Sludge Bomb,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,−,,,,,46,Paras,Bug Bite,Cross Poison,Scratch,Seed Bomb,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,−,,,,,47,Parasect,Cross Poison,Fury Cutter,Solar Beam,Struggle Bug,X-Scissor,**Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,−,,,,,48,Venonat,Bug Bite,Confusion,Poison Fang,Psybeam,Return,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,−,,,,,49,Venomoth,Bug Buzz,Confusion,Infestation,Poison Fang,Psychic,Return,Silver Wind,**Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,−,,,,,50,Diglett,Dig,Mud Bomb,Mud Slap,Rock Tomb,Scratch,✝ Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,−,,,,,50,Diglett-Alola,Dig,Metal Claw,Mud Bomb,Mud Slap,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,−,,,,,51,Dugtrio,Earthquake,Mud Bomb,Mud Slap,Stone Edge,Sucker Punch,✝ Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,−,,,,,51,Dugtrio-Alola,Earthquake,Iron Head,Metal Claw,Mud Bomb,Mud Slap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,−,,,,,52,Meowth,Bite,Dark Pulse,Foul Play,Night Slash,Return,Scratch,**Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,−,,,,,52,Meowth-Alola,Bite,Dark Pulse,Foul Play,Night Slash,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,−,,,,,52,Meowth-Galar,Dig,Gyro Ball,Metal Claw,Night Slash,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,−,,,,,53,Persian,Feint Attack,Foul Play,Payback,Play Rough,Power Gem,Return,Scratch,**Night Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,−,,,,,53,Persian-Alola,Dark Pulse,Feint Attack,Foul Play,Payback,Play Rough,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,−,,,,,54,Psyduck,Aqua Tail,Cross Chop,Psybeam,Return,Water Gun,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,−,,,,,55,Golduck,Bubble Beam,Confusion,Cross Chop,Hydro Pump,Ice Beam,Psychic,Return,Synchronoise,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,−,,,,,56,Mankey,Brick Break,Cross Chop,Karate Chop,Low Sweep,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,−,,,,,57,Primeape,Close Combat,Counter,Ice Punch,Low Kick,Low Sweep,Night Slash,**Cross Chop,**Karate Chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,−,,,,,58,Growlithe,Bite,Body Slam,Ember,Flame Wheel,Flamethrower,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,−,,,,,59,Arcanine,Crunch,Fire Blast,Fire Fang,Flamethrower,Return,Snarl,Thunder Fang,Wild Charge,**Bite,**Bulldoze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,−,,,,,60,Poliwag,Body Slam,Bubble,Bubble Beam,Mud Bomb,Mud Shot,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,−,,,,,61,Poliwhirl,Bubble,Bubble Beam,Mud Bomb,Mud Shot,Return,Water Pulse,**Scald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,−,,,,,62,Poliwrath,Bubble,Dynamic Punch,Hydro Pump,Ice Punch,Mud Shot,Power-Up Punch,Return,Rock Smash,Scald,**Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,−,,,,,63,Abra,Charge Beam,Psyshock,Return,Shadow Ball,Signal Beam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,−,,,,,64,Kadabra,Confusion,Dazzling Gleam,Psybeam,Psycho Cut,Return,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,−,,,,,65,Alakazam,Confusion,Fire Punch,Focus Blast,Future Sight,Psycho Cut,Return,Shadow Ball,* Counter,**Dazzling Gleam,**Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,−,,,,,66,Machop,Brick Break,Cross Chop,Karate Chop,Low Sweep,Rock Smash,**Low Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,−,,,,,67,Machoke,Brick Break,Dynamic Punch,Karate Chop,Low Kick,Submission,**Cross Chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,−,,,,,68,Machamp,Bullet Punch,Close Combat,Counter,Cross Chop,Dynamic Punch,Heavy Slam,Rock Slide,* Payback,**Karate Chop,**Stone Edge,**Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,−,,,,,69,Bellsprout,Acid,Power Whip,Return,Sludge Bomb,Vine Whip,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,−,,,,,70,Weepinbell,Acid,Bullet Seed,Power Whip,Return,Seed Bomb,Sludge Bomb,**Razor Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,−,,,,,71,Victreebel,Acid,Acid Spray,Leaf Blade,Leaf Tornado,Razor Leaf,Return,Sludge Bomb,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,−,,,,,72,Tentacool,Bubble,Bubble Beam,Poison Sting,Water Pulse,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,−,,,,,73,Tentacruel,Acid,Acid Spray,Blizzard,Hydro Pump,Poison Jab,Sludge Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,−,,,,,74,Geodude,Dig,Rock Slide,Rock Throw,Rock Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,−,,,,,74,Geodude-Alola,Rock Slide,Rock Throw,Rock Tomb,Thunderbolt,Volt Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,−,,,,,75,Graveler,Dig,Mud Slap,Rock Blast,Rock Throw,Stone Edge,**Rock Slide,✝ Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,−,,,,,75,Graveler-Alola,Rock Blast,Rock Throw,Stone Edge,Thunderbolt,Volt Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,−,,,,,76,Golem,Ancient Power,Earthquake,Mud Slap,Rock Blast,Rock Throw,Stone Edge,✝ Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,−,,,,,76,Golem-Alola,Rock Blast,Rock Throw,Stone Edge,Volt Switch,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,−,,,,,77,Ponyta,Ember,Flame Charge,Flame Wheel,Stomp,Tackle,Weather Ball (Fire),**Fire Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,−,,,,,77,Ponyta-Galar,Low Kick,Play Rough,Psybeam,Psycho Cut,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,−,,,,,78,Rapidash,Drill Run,Fire Blast,Fire Spin,Flame Charge,Heat Wave,Incinerate,Low Kick,Weather Ball (Fire),**Ember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,−,,,,,78,Rapidash-Galar,Body Slam,Low Kick,Megahorn,Play Rough,Psychic,Psycho Cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,−,,,,,79,Slowpoke,Confusion,Psychic,Psyshock,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,−,,,,,80,Slowbro,Confusion,Ice Beam,Psychic,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,−,,,,,81,Magnemite,Discharge,Magnet Bomb,Return,Spark,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,−,,,,,82,Magneton,Charge Beam,Discharge,Flash Cannon,Magnet Bomb,Return,Spark,Thunder Shock,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,−,,,,,83,Farfetch'd,Aerial Ace,Air Cutter,Air Slash,Fury Cutter,Leaf Blade,**Cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,−,,,,,83,Farfetch'd-Galar,Fury Cutter,Rock Smash,Brave Bird,Brick Break,Leaf Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,−,,,,,84,Doduo,Aerial Ace,Brave Bird,Drill Peck,Peck,Quick Attack,**Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,−,,,,,85,Dodrio,Aerial Ace,Brave Bird,Drill Peck,Feint Attack,Steel Wing,**Air Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,−,,,,,86,Seel,Aqua Tail,Aurora Beam,Ice Shard,Icy Wind,Lick,**Aqua Jet,**Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,−,,,,,87,Dewgong,Aurora Beam,Blizzard,Frost Breath,Iron Tail,Water Pulse,**Aqua Jet,**Ice Shard,**Icy Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,−,,,,,88,Grimer,Mud Bomb,Mud Slap,Poison Jab,Return,Sludge,Sludge Bomb,✝ Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,−,,,,,88,Grimer-Alola,Bite,Crunch,Gunk Shot,Poison Jab,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,−,,,,,89,Muk,Acid Spray,Dark Pulse,Gunk Shot,Infestation,Poison Jab,Return,Sludge Wave,Thunder Punch,**Lick,✝ Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,−,,,,,89,Muk-Alola,Acid Spray,Bite,Dark Pulse,Gunk Shot,Poison Jab,Sludge Wave,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,−,,,,,90,Shellder,Bubble Beam,Ice Shard,Icy Wind,Tackle,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,−,,,,,91,Cloyster,Aurora Beam,Avalanche,Frost Breath,Hydro Pump,Ice Shard,Icy Wind,**Blizzard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,−,,,,,92,Gastly,Astonish,Dark Pulse,Lick,Night Shade,Sludge Bomb,**Ominous Wind,**Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,−,,,,,93,Haunter,Astonish,Dark Pulse,Shadow Ball,Shadow Claw,Shadow Punch,Sludge Bomb,**Lick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,−,,,,,94,Gengar,Focus Blast,Hex,Shadow Ball,Shadow Claw,Sludge Bomb,Sucker Punch,* Shadow Punch,* Lick,* Psychic,**Dark Pulse,**Sludge Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,−,,,,,95,Onix,Heavy Slam,Rock Throw,Sand Tomb,Stone Edge,Tackle,**Iron Head,**Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,−,,,,,96,Drowzee,Confusion,Pound,Psybeam,Psychic,Psyshock,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,−,,,,,97,Hypno,Confusion,Fire Punch,Focus Blast,Future Sight,Ice Punch,Psychic,Return,Shadow Ball,Thunder Punch,Zen Headbutt,**Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,−,,,,,98,Krabby,Bubble,Bubble Beam,Mud Shot,Vise Grip,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,−,,,,,99,Kingler,Bubble,Crabhammer,Metal Claw,Vise Grip,Water Pulse,X-Scissor,**Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,−,,,,,99,Kingler,Bubble,Crabhammer,Metal Claw,Mud Shot,Vise Grip,Water Pulse,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,−,,,,,100,Voltorb,Discharge,Gyro Ball,Spark,Tackle,Thunderbolt,**Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,−,,,,,101,Electrode,Discharge,Foul Play,Hyper Beam,Spark,Thunderbolt,Volt Switch,**Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,−,,,,,102,Exeggcute,Ancient Power,Bullet Seed,Confusion,Psychic,Return,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,−,,,,,103,Exeggutor,Bullet Seed,Confusion,Extrasensory,Psychic,Return,Seed Bomb,Solar Beam,**Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,−,,,,,103,Exeggutor-Alola,Bullet Seed,Dragon Pulse,Dragon Tail,Seed Bomb,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,−,,,,,104,Cubone,Bone Club,Bulldoze,Dig,Mud Slap,Return,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,−,,,,,105,Marowak,Bone Club,Dig,Earthquake,Mud Slap,Return,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,−,,,,,105,Marowak-Alola,Bone Club,Fire Blast,Fire Spin,Flame Wheel,Hex,Rock Smash,Shadow Ball,* Shadow Bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,−,,,,,106,Hitmonlee,Close Combat,Low Kick,Low Sweep,Return,Rock Smash,Stone Edge,**Brick Break,**Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,−,,,,,107,Hitmonchan,Bullet Punch,Close Combat,Counter,Fire Punch,Ice Punch,Power-Up Punch,Return,Thunder Punch,**Brick Break,**Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,−,,,,,108,Lickitung,Hyper Beam,Lick,Power Whip,Stomp,Zen Headbutt,* Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,−,,,,,109,Koffing,Dark Pulse,Infestation,Sludge,Sludge Bomb,Tackle,✝ Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,−,,,,,110,Weezing,Dark Pulse,Infestation,Shadow Ball,Sludge Bomb,Tackle,Thunderbolt,✝ Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,−,,,,,110,Weezing-Galar,Hyper Beam,Overheat,Play Rough,Sludge,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,−,,,,,111,Rhyhorn,Bulldoze,Horn Attack,Mud Slap,Rock Smash,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,−,,,,,112,Rhydon,Earthquake,Mud Slap,Rock Smash,Stone Edge,Surf,**Megahorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,−,,,,,113,Chansey,Dazzling Gleam,Hyper Beam,Pound,Psychic,Zen Headbutt,✝ Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,−,,,,,114,Tangela,Grass Knot,Infestation,Sludge Bomb,Solar Beam,Vine Whip,**Power Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,−,,,,,115,Kangaskhan,Crunch,Earthquake,Low Kick,Mud Slap,Outrage,Power-Up Punch,**Brick Break,**Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,−,,,,,116,Horsea,Bubble,Bubble Beam,Dragon Pulse,Flash Cannon,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,−,,,,,117,Seadra,Aurora Beam,Dragon Breath,Dragon Pulse,Hydro Pump,Water Gun,**Blizzard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,−,,,,,118,Goldeen,Aqua Tail,Horn Attack,Mud Shot,Peck,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
